"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"California"	"06"	"2016"	"2016"	212	5102461	4.2
	"California"	"06"	"2017"	"2017"	226	5105448	4.4
	"California"	"06"	"2018"	"2018"	200	5093348	3.9
	"California"	"06"	"2019"	"2019"	184	5062831	3.6
	"California"	"06"	"2020 "	"2020"	223	5018826	4.4
	"Colorado"	"08"	"1999"	"1999"	45	608772	7.4
	"Colorado"	"08"	"2000"	"2000"	48	618735	7.8
	"Colorado"	"08"	"2001"	"2001"	51	639379	8.0
	"Colorado"	"08"	"2002"	"2002"	55	647498	8.5
	"Colorado"	"08"	"2003"	"2003"	30	651375	4.6
	"Colorado"	"08"	"2004"	"2004"	58	651103	8.9
	"Colorado"	"08"	"2005"	"2005"	58	653773	8.9
	"Colorado"	"08"	"2006"	"2006"	42	657091	6.4
	"Colorado"	"08"	"2007"	"2007"	40	660636	6.1
	"Colorado"	"08"	"2008"	"2008"	52	665115	7.8
	"Colorado"	"08"	"2009"	"2009"	60	670256	9.0
	"Colorado"	"08"	"2010"	"2010"	49	672129	7.3
	"Colorado"	"08"	"2011"	"2011"	54	678025	8.0
	"Colorado"	"08"	"2012"	"2012"	53	681073	7.8
	"Colorado"	"08"	"2013"	"2013"	60	687758	8.7
	"Colorado"	"08"	"2014"	"2014"	63	696916	9.0
	"Colorado"	"08"	"2015"	"2015"	90	706659	12.7
	"Colorado"	"08"	"2016"	"2016"	79	714069	11.1
	"Colorado"	"08"	"2017"	"2017"	99	719586	13.8
	"Colorado"	"08"	"2018"	"2018"	94	728742	12.9
	"Colorado"	"08"	"2019"	"2019"	103	728987	14.1
	"Colorado"	"08"	"2020 "	"2020"	102	727811	14.0
	"Connecticut"	"09"	"1999"	"1999"	12	449215	Unreliable
	"Connecticut"	"09"	"2000"	"2000"	19	458214	Unreliable
	"Connecticut"	"09"	"2001"	"2001"	22	474484	4.6
	"Connecticut"	"09"	"2002"	"2002"	14	485441	Unreliable
	"Connecticut"	"09"	"2004"	"2004"	13	496707	Unreliable
	"Connecticut"	"09"	"2005"	"2005"	14	499208	Unreliable
	"Connecticut"	"09"	"2006"	"2006"	19	500042	Unreliable
	"Connecticut"	"09"	"2007"	"2007"	17	499573	Unreliable
	"Connecticut"	"09"	"2008"	"2008"	21	497847	4.2
	"Connecticut"	"09"	"2009"	"2009"	16	495357	Unreliable
	"Connecticut"	"09"	"2010"	"2010"	12	491099	Unreliable
	"Connecticut"	"09"	"2011"	"2011"	17	490613	Unreliable
	"Connecticut"	"09"	"2012"	"2012"	17	490209	Unreliable
	"Connecticut"	"09"	"2013"	"2013"	15	486018	Unreliable
	"Connecticut"	"09"	"2014"	"2014"	16	482093	Unreliable
	"Connecticut"	"09"	"2015"	"2015"	17	476078	Unreliable
	"Connecticut"	"09"	"2016"	"2016"	15	470268	Unreliable
	"Connecticut"	"09"	"2017"	"2017"	28	465119	6.0
	"Connecticut"	"09"	"2018"	"2018"	15	459801	Unreliable
	"Connecticut"	"09"	"2019"	"2019"	23	453134	5.1
	"Connecticut"	"09"	"2020 "	"2020"	16	445128	Unreliable
	"Delaware"	"10"	"2011"	"2011"	10	119280	Unreliable
	"Delaware"	"10"	"2012"	"2012"	13	118726	Unreliable
	"Florida"	"12"	"1999"	"1999"	73	2024404	3.6
	"Florida"	"12"	"2000"	"2000"	70	2071091	3.4
	"Florida"	"12"	"2001"	"2001"	88	2135016	4.1
	"Florida"	"12"	"2002"	"2002"	87	2185897	4.0
	"Florida"	"12"	"2003"	"2003"	62	2231591	2.8
	"Florida"	"12"	"2004"	"2004"	88	2285472	3.9
	"Florida"	"12"	"2005"	"2005"	103	2332034	4.4
	"Florida"	"12"	"2006"	"2006"	73	2366487	3.1
	"Florida"	"12"	"2007"	"2007"	77	2376882	3.2
	"Florida"	"12"	"2008"	"2008"	78	2376271	3.3
	"Florida"	"12"	"2009"	"2009"	92	2365899	3.9
	"Florida"	"12"	"2010"	"2010"	70	2359229	3.0
	"Florida"	"12"	"2011"	"2011"	97	2327390	4.2
	"Florida"	"12"	"2012"	"2012"	116	2309847	5.0
	"Florida"	"12"	"2013"	"2013"	92	2303428	4.0
	"Florida"	"12"	"2014"	"2014"	109	2309604	4.7
	"Florida"	"12"	"2015"	"2015"	116	2330369	5.0
	"Florida"	"12"	"2016"	"2016"	118	2343610	5.0
	"Florida"	"12"	"2017"	"2017"	126	2385070	5.3
	"Florida"	"12"	"2018"	"2018"	139	2412669	5.8
	"Florida"	"12"	"2019"	"2019"	129	2408483	5.4
	"Florida"	"12"	"2020 "	"2020"	148	2414379	6.1
	"Georgia"	"13"	"1999"	"1999"	59	1181444	5.0
	"Georgia"	"13"	"2000"	"2000"	48	1204036	4.0
	"Georgia"	"13"	"2001"	"2001"	58	1234064	4.7
	"Georgia"	"13"	"2002"	"2002"	45	1254508	3.6
	"Georgia"	"13"	"2003"	"2003"	56	1275830	4.4
	"Georgia"	"13"	"2004"	"2004"	59	1296806	4.5
	"Georgia"	"13"	"2005"	"2005"	37	1319486	2.8
	"Georgia"	"13"	"2006"	"2006"	40	1346726	3.0
	"Georgia"	"13"	"2007"	"2007"	32	1371175	2.3
	"Georgia"	"13"	"2008"	"2008"	46	1385989	3.3
	"Georgia"	"13"	"2009"	"2009"	52	1396065	3.7
	"Georgia"	"13"	"2010"	"2010"	57	1399683	4.1
	"Georgia"	"13"	"2011"	"2011"	48	1398831	3.4
	"Georgia"	"13"	"2012"	"2012"	48	1402316	3.4
	"Georgia"	"13"	"2013"	"2013"	73	1400810	5.2
	"Georgia"	"13"	"2014"	"2014"	54	1405878	3.8
	"Georgia"	"13"	"2015"	"2015"	79	1418744	5.6
	"Georgia"	"13"	"2016"	"2016"	86	1429712	6.0
	"Georgia"	"13"	"2017"	"2017"	92	1446100	6.4
	"Georgia"	"13"	"2018"	"2018"	95	1456128	6.5
	"Georgia"	"13"	"2019"	"2019"	89	1459536	6.1
	"Georgia"	"13"	"2020 "	"2020"	107	1458842	7.3
	"Hawaii"	"15"	"2001"	"2001"	12	166520	Unreliable
	"Hawaii"	"15"	"2003"	"2003"	10	169031	Unreliable
	"Hawaii"	"15"	"2006"	"2006"	12	172198	Unreliable
	"Hawaii"	"15"	"2008"	"2008"	11	169639	Unreliable
	"Hawaii"	"15"	"2009"	"2009"	12	168494	Unreliable
	"Hawaii"	"15"	"2010"	"2010"	10	167533	Unreliable
	"Hawaii"	"15"	"2011"	"2011"	11	165114	Unreliable
	"Hawaii"	"15"	"2015"	"2015"	14	163073	Unreliable
	"Hawaii"	"15"	"2016"	"2016"	11	160416	Unreliable
	"Hawaii"	"15"	"2019"	"2019"	15	158163	Unreliable
	"Idaho"	"16"	"1999"	"1999"	17	215566	Unreliable
	"Idaho"	"16"	"2000"	"2000"	25	215466	11.6
	"Idaho"	"16"	"2001"	"2001"	24	218545	11.0
	"Idaho"	"16"	"2002"	"2002"	17	218895	Unreliable
	"Idaho"	"16"	"2003"	"2003"	18	219054	Unreliable
	"Idaho"	"16"	"2004"	"2004"	17	219861	Unreliable
	"Idaho"	"16"	"2005"	"2005"	13	222120	Unreliable
	"Idaho"	"16"	"2006"	"2006"	18	224866	Unreliable
	"Idaho"	"16"	"2007"	"2007"	22	228314	9.6
	"Idaho"	"16"	"2008"	"2008"	21	230237	9.1
	"Idaho"	"16"	"2009"	"2009"	14	231407	Unreliable
	"Idaho"	"16"	"2010"	"2010"	21	232314	9.0
	"Idaho"	"16"	"2011"	"2011"	27	234606	11.5
	"Idaho"	"16"	"2012"	"2012"	28	233009	12.0
	"Idaho"	"16"	"2013"	"2013"	23	234813	9.8
	"Idaho"	"16"	"2014"	"2014"	25	237209	10.5
	"Idaho"	"16"	"2015"	"2015"	25	240940	10.4
	"Idaho"	"16"	"2016"	"2016"	26	243917	10.7
	"Idaho"	"16"	"2017"	"2017"	31	249875	12.4
	"Idaho"	"16"	"2018"	"2018"	39	255542	15.3
	"Idaho"	"16"	"2019"	"2019"	27	256656	10.5
	"Idaho"	"16"	"2020 "	"2020"	36	259911	13.9
	"Illinois"	"17"	"1999"	"1999"	64	1787182	3.6
	"Illinois"	"17"	"2000"	"2000"	61	1799099	3.4
	"Illinois"	"17"	"2001"	"2001"	80	1817535	4.4
	"Illinois"	"17"	"2002"	"2002"	61	1826163	3.3
	"Illinois"	"17"	"2003"	"2003"	50	1830825	2.7
	"Illinois"	"17"	"2004"	"2004"	68	1837743	3.7
	"Illinois"	"17"	"2005"	"2005"	55	1837689	3.0
	"Illinois"	"17"	"2006"	"2006"	53	1835258	2.9
	"Illinois"	"17"	"2007"	"2007"	70	1830767	3.8
	"Illinois"	"17"	"2008"	"2008"	68	1823417	3.7
	"Illinois"	"17"	"2009"	"2009"	67	1812129	3.7
	"Illinois"	"17"	"2010"	"2010"	77	1801540	4.3
	"Illinois"	"17"	"2011"	"2011"	75	1781918	4.2
	"Illinois"	"17"	"2012"	"2012"	64	1757282	3.6
	"Illinois"	"17"	"2013"	"2013"	68	1735582	3.9
	"Illinois"	"17"	"2014"	"2014"	73	1713763	4.3
	"Illinois"	"17"	"2015"	"2015"	97	1693521	5.7
	"Illinois"	"17"	"2016"	"2016"	77	1678029	4.6
	"Illinois"	"17"	"2017"	"2017"	113	1662184	6.8
	"Illinois"	"17"	"2018"	"2018"	85	1647353	5.2
	"Illinois"	"17"	"2019"	"2019"	76	1628648	4.7
	"Illinois"	"17"	"2020 "	"2020"	98	1608019	6.1
	"Indiana"	"18"	"1999"	"1999"	46	894230	5.1
	"Indiana"	"18"	"2000"	"2000"	51	896898	5.7
	"Indiana"	"18"	"2001"	"2001"	44	904255	4.9
	"Indiana"	"18"	"2002"	"2002"	42	905649	4.6
	"Indiana"	"18"	"2003"	"2003"	30	910000	3.3
	"Indiana"	"18"	"2004"	"2004"	46	914585	5.0
	"Indiana"	"18"	"2005"	"2005"	41	917996	4.5
	"Indiana"	"18"	"2006"	"2006"	41	923789	4.4
	"Indiana"	"18"	"2007"	"2007"	42	926615	4.5
	"Indiana"	"18"	"2008"	"2008"	50	929740	5.4
	"Indiana"	"18"	"2009"	"2009"	46	929811	4.9
	"Indiana"	"18"	"2010"	"2010"	43	927686	4.6
	"Indiana"	"18"	"2011"	"2011"	48	921675	5.2
	"Indiana"	"18"	"2012"	"2012"	59	910516	6.5
	"Indiana"	"18"	"2013"	"2013"	53	907192	5.8
	"Indiana"	"18"	"2014"	"2014"	52	905526	5.7
	"Indiana"	"18"	"2015"	"2015"	54	903736	6.0
	"Indiana"	"18"	"2016"	"2016"	57	901003	6.3
	"Indiana"	"18"	"2017"	"2017"	72	903720	8.0
	"Indiana"	"18"	"2018"	"2018"	84	904243	9.3
	"Indiana"	"18"	"2019"	"2019"	48	904788	5.3
	"Indiana"	"18"	"2020 "	"2020"	83	899619	9.2
	"Iowa"	"19"	"1999"	"1999"	29	438678	6.6
	"Iowa"	"19"	"2000"	"2000"	29	436967	6.6
	"Iowa"	"19"	"2001"	"2001"	37	438635	8.4
	"Iowa"	"19"	"2002"	"2002"	19	435196	Unreliable
	"Iowa"	"19"	"2003"	"2003"	26	432436	6.0
	"Iowa"	"19"	"2004"	"2004"	24	430482	5.6
	"Iowa"	"19"	"2005"	"2005"	24	427087	5.6
	"Iowa"	"19"	"2006"	"2006"	31	425056	7.3
	"Iowa"	"19"	"2007"	"2007"	24	422976	5.7
	"Iowa"	"19"	"2008"	"2008"	29	421629	6.9
	"Iowa"	"19"	"2009"	"2009"	24	419835	5.7
	"Iowa"	"19"	"2010"	"2010"	28	417741	6.7
	"Iowa"	"19"	"2011"	"2011"	31	417468	7.4
	"Iowa"	"19"	"2012"	"2012"	32	415083	7.7
	"Iowa"	"19"	"2013"	"2013"	27	414779	6.5
	"Iowa"	"19"	"2014"	"2014"	23	415812	5.5
	"Iowa"	"19"	"2015"	"2015"	39	417513	9.3
	"Iowa"	"19"	"2016"	"2016"	26	418789	6.2
	"Iowa"	"19"	"2017"	"2017"	40	421448	9.5
	"Iowa"	"19"	"2018"	"2018"	32	422686	7.6
	"Iowa"	"19"	"2019"	"2019"	36	420543	8.6
	"Iowa"	"19"	"2020 "	"2020"	32	420998	7.6
	"Kansas"	"20"	"1999"	"1999"	22	414659	5.3
	"Kansas"	"20"	"2000"	"2000"	26	414136	6.3
	"Kansas"	"20"	"2001"	"2001"	30	417147	7.2
	"Kansas"	"20"	"2002"	"2002"	21	415094	5.1
	"Kansas"	"20"	"2003"	"2003"	18	412857	Unreliable
	"Kansas"	"20"	"2004"	"2004"	22	409392	5.4
	"Kansas"	"20"	"2005"	"2005"	16	406656	Unreliable
	"Kansas"	"20"	"2006"	"2006"	25	404561	6.2
	"Kansas"	"20"	"2007"	"2007"	26	403186	6.4
	"Kansas"	"20"	"2008"	"2008"	21	401901	5.2
	"Kansas"	"20"	"2009"	"2009"	16	402855	Unreliable
	"Kansas"	"20"	"2010"	"2010"	29	402705	7.2
	"Kansas"	"20"	"2011"	"2011"	26	404061	6.4
	"Kansas"	"20"	"2012"	"2012"	37	400793	9.2
	"Kansas"	"20"	"2013"	"2013"	27	401152	6.7
	"Kansas"	"20"	"2014"	"2014"	26	400763	6.5
	"Kansas"	"20"	"2015"	"2015"	28	400526	7.0
	"Kansas"	"20"	"2016"	"2016"	34	399639	8.5
	"Kansas"	"20"	"2017"	"2017"	44	400562	11.0
	"Kansas"	"20"	"2018"	"2018"	51	400720	12.7
	"Kansas"	"20"	"2019"	"2019"	44	400397	11.0
	"Kansas"	"20"	"2020 "	"2020"	44	399569	11.0
	"Kentucky"	"21"	"1999"	"1999"	26	571598	4.5
	"Kentucky"	"21"	"2000"	"2000"	26	568485	4.6
	"Kentucky"	"21"	"2001"	"2001"	18	568230	Unreliable
	"Kentucky"	"21"	"2002"	"2002"	22	570049	3.9
	"Kentucky"	"21"	"2003"	"2003"	24	571955	4.2
	"Kentucky"	"21"	"2004"	"2004"	29	572178	5.1
	"Kentucky"	"21"	"2005"	"2005"	23	575492	4.0
	"Kentucky"	"21"	"2006"	"2006"	30	577636	5.2
	"Kentucky"	"21"	"2007"	"2007"	37	578438	6.4
	"Kentucky"	"21"	"2008"	"2008"	29	581485	5.0
	"Kentucky"	"21"	"2009"	"2009"	29	581176	5.0
	"Kentucky"	"21"	"2010"	"2010"	26	580949	4.5
	"Kentucky"	"21"	"2011"	"2011"	26	575565	4.5
	"Kentucky"	"21"	"2012"	"2012"	36	568657	6.3
	"Kentucky"	"21"	"2013"	"2013"	37	567768	6.5
	"Kentucky"	"21"	"2014"	"2014"	24	567845	4.2
	"Kentucky"	"21"	"2015"	"2015"	49	566864	8.6
	"Kentucky"	"21"	"2016"	"2016"	50	569804	8.8
	"Kentucky"	"21"	"2017"	"2017"	45	571816	7.9
	"Kentucky"	"21"	"2018"	"2018"	48	572893	8.4
	"Kentucky"	"21"	"2019"	"2019"	39	569907	6.8
	"Kentucky"	"21"	"2020 "	"2020"	46	567739	8.1
	"Louisiana"	"22"	"1999"	"1999"	39	719543	5.4
	"Louisiana"	"22"	"2000"	"2000"	32	713857	4.5
	"Louisiana"	"22"	"2001"	"2001"	37	706874	5.2
	"Louisiana"	"22"	"2002"	"2002"	28	701147	4.0
	"Louisiana"	"22"	"2003"	"2003"	34	697110	4.9
	"Louisiana"	"22"	"2004"	"2004"	39	692449	5.6
	"Louisiana"	"22"	"2005"	"2005"	45	685727	6.6
	"Louisiana"	"22"	"2006"	"2006"	22	632426	3.5
	"Louisiana"	"22"	"2007"	"2007"	34	634896	5.4
	"Louisiana"	"22"	"2008"	"2008"	22	636676	3.5
	"Louisiana"	"22"	"2009"	"2009"	28	634636	4.4
	"Louisiana"	"22"	"2010"	"2010"	26	633615	4.1
	"Louisiana"	"22"	"2011"	"2011"	36	624808	5.8
	"Louisiana"	"22"	"2012"	"2012"	31	615760	5.0
	"Louisiana"	"22"	"2013"	"2013"	35	611044	5.7
	"Louisiana"	"22"	"2014"	"2014"	37	607784	6.1
	"Louisiana"	"22"	"2015"	"2015"	44	606700	7.3
	"Louisiana"	"22"	"2016"	"2016"	35	607772	5.8
	"Louisiana"	"22"	"2017"	"2017"	47	605840	7.8
	"Louisiana"	"22"	"2018"	"2018"	40	603371	6.6
	"Louisiana"	"22"	"2019"	"2019"	42	600579	7.0
	"Louisiana"	"22"	"2020 "	"2020"	41	596490	6.9
	"Maine"	"23"	"1999"	"1999"	10	181260	Unreliable
	"Maine"	"23"	"2000"	"2000"	17	181737	Unreliable
	"Maine"	"23"	"2001"	"2001"	11	184463	Unreliable
	"Maine"	"23"	"2003"	"2003"	10	185659	Unreliable
	"Maine"	"23"	"2004"	"2004"	16	184224	Unreliable
	"Maine"	"23"	"2007"	"2007"	13	176329	Unreliable
	"Maine"	"23"	"2010"	"2010"	11	167323	Unreliable
	"Maine"	"23"	"2011"	"2011"	11	164199	Unreliable
	"Maine"	"23"	"2013"	"2013"	12	158580	Unreliable
	"Maine"	"23"	"2014"	"2014"	14	156800	Unreliable
	"Maine"	"23"	"2015"	"2015"	10	154908	Unreliable
	"Maine"	"23"	"2016"	"2016"	16	153615	Unreliable
	"Maine"	"23"	"2017"	"2017"	11	152878	Unreliable
	"Maine"	"23"	"2018"	"2018"	16	150626	Unreliable
	"Maine"	"23"	"2019"	"2019"	12	150197	Unreliable
	"Maine"	"23"	"2020 "	"2020"	13	148897	Unreliable
	"Maryland"	"24"	"1999"	"1999"	31	733835	4.2
	"Maryland"	"24"	"2000"	"2000"	36	748254	4.8
	"Maryland"	"24"	"2001"	"2001"	32	769377	4.2
	"Maryland"	"24"	"2002"	"2002"	34	787068	4.3
	"Maryland"	"24"	"2003"	"2003"	30	797274	3.8
	"Maryland"	"24"	"2004"	"2004"	26	804775	3.2
	"Maryland"	"24"	"2005"	"2005"	29	808787	3.6
	"Maryland"	"24"	"2006"	"2006"	22	808352	2.7
	"Maryland"	"24"	"2007"	"2007"	29	803749	3.6
	"Maryland"	"24"	"2008"	"2008"	25	796149	3.1
	"Maryland"	"24"	"2009"	"2009"	35	790570	4.4
	"Maryland"	"24"	"2010"	"2010"	22	785270	2.8
	"Maryland"	"24"	"2011"	"2011"	27	776406	3.5
	"Maryland"	"24"	"2012"	"2012"	26	773432	3.4
	"Maryland"	"24"	"2013"	"2013"	30	765139	3.9
	"Maryland"	"24"	"2014"	"2014"	32	763694	4.2
	"Maryland"	"24"	"2015"	"2015"	31	759736	4.1
	"Maryland"	"24"	"2016"	"2016"	32	759740	4.2
	"Maryland"	"24"	"2017"	"2017"	34	761565	4.5
	"Maryland"	"24"	"2018"	"2018"	33	760010	4.3
	"Maryland"	"24"	"2019"	"2019"	39	757229	5.2
	"Maryland"	"24"	"2020 "	"2020"	40	755284	5.3
	"Massachusetts"	"25"	"1999"	"1999"	30	831365	3.6
	"Massachusetts"	"25"	"2000"	"2000"	24	846984	2.8
	"Massachusetts"	"25"	"2001"	"2001"	24	866893	2.8
	"Massachusetts"	"25"	"2002"	"2002"	15	878630	Unreliable
	"Massachusetts"	"25"	"2003"	"2003"	26	886357	2.9
	"Massachusetts"	"25"	"2004"	"2004"	21	889242	2.4
	"Massachusetts"	"25"	"2005"	"2005"	20	889104	2.2
	"Massachusetts"	"25"	"2006"	"2006"	15	886928	Unreliable
	"Massachusetts"	"25"	"2007"	"2007"	21	883723	2.4
	"Massachusetts"	"25"	"2008"	"2008"	22	879304	2.5
	"Massachusetts"	"25"	"2009"	"2009"	21	874688	2.4
	"Massachusetts"	"25"	"2010"	"2010"	32	868369	3.7
	"Massachusetts"	"25"	"2011"	"2011"	32	861449	3.7
	"Massachusetts"	"25"	"2012"	"2012"	30	862720	3.5
	"Massachusetts"	"25"	"2013"	"2013"	40	855542	4.7
	"Massachusetts"	"25"	"2014"	"2014"	32	855359	3.7
	"Massachusetts"	"25"	"2015"	"2015"	35	852361	4.1
	"Massachusetts"	"25"	"2016"	"2016"	34	849401	4.0
	"Massachusetts"	"25"	"2017"	"2017"	37	845307	4.4
	"Massachusetts"	"25"	"2018"	"2018"	28	844548	3.3
	"Massachusetts"	"25"	"2019"	"2019"	19	832419	Unreliable
	"Massachusetts"	"25"	"2020 "	"2020"	30	824777	3.6
	"Michigan"	"26"	"1999"	"1999"	74	1456598	5.1
	"Michigan"	"26"	"2000"	"2000"	55	1466879	3.7
	"Michigan"	"26"	"2001"	"2001"	72	1487008	4.8
	"Michigan"	"26"	"2002"	"2002"	70	1498274	4.7
	"Michigan"	"26"	"2003"	"2003"	60	1504797	4.0
	"Michigan"	"26"	"2004"	"2004"	71	1507368	4.7
	"Michigan"	"26"	"2005"	"2005"	66	1502121	4.4
	"Michigan"	"26"	"2006"	"2006"	69	1491534	4.6
	"Michigan"	"26"	"2007"	"2007"	58	1477600	3.9
	"Michigan"	"26"	"2008"	"2008"	62	1458273	4.3
	"Michigan"	"26"	"2009"	"2009"	69	1436495	4.8
	"Michigan"	"26"	"2010"	"2010"	84	1414815	5.9
	"Michigan"	"26"	"2011"	"2011"	72	1382472	5.2
	"Michigan"	"26"	"2012"	"2012"	88	1356278	6.5
	"Michigan"	"26"	"2013"	"2013"	89	1337140	6.7
	"Michigan"	"26"	"2014"	"2014"	88	1320994	6.7
