"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Nebraska"	"31"	"2020"	"2020"	20	266580	7.5
	"Nebraska"	"31"	"2021 "	"2021"	25	277643	9.0
"Total"	"Nebraska"	"31"			84	1075868	7.8
	"Nevada"	"32"	"2018"	"2018"	41	378120	10.8
	"Nevada"	"32"	"2019"	"2019"	28	381647	7.3
	"Nevada"	"32"	"2020"	"2020"	36	385221	9.3
	"Nevada"	"32"	"2021 "	"2021"	38	395272	9.6
"Total"	"Nevada"	"32"			143	1540260	9.3
	"New Hampshire"	"33"	"2018"	"2018"	17	161245	Unreliable
	"New Hampshire"	"33"	"2020"	"2020"	12	156737	Unreliable
"Total"	"New Hampshire"	"33"			47	637773	7.4
	"New Jersey"	"34"	"2018"	"2018"	35	1116429	3.1
	"New Jersey"	"34"	"2019"	"2019"	35	1104539	3.2
	"New Jersey"	"34"	"2020"	"2020"	41	1096345	3.7
	"New Jersey"	"34"	"2021 "	"2021"	33	1170984	2.8
"Total"	"New Jersey"	"34"			144	4488297	3.2
	"New Mexico"	"35"	"2018"	"2018"	38	278993	13.6
	"New Mexico"	"35"	"2019"	"2019"	40	277947	14.4
	"New Mexico"	"35"	"2020"	"2020"	40	277868	14.4
	"New Mexico"	"35"	"2021 "	"2021"	36	285011	12.6
"Total"	"New Mexico"	"35"			154	1119819	13.8
	"New York"	"36"	"2018"	"2018"	89	2306162	3.9
	"New York"	"36"	"2019"	"2019"	88	2276104	3.9
	"New York"	"36"	"2020"	"2020"	66	2243929	2.9
	"New York"	"36"	"2021 "	"2021"	77	2372231	3.2
"Total"	"New York"	"36"			320	9198426	3.5
	"North Carolina"	"37"	"2018"	"2018"	84	1348386	6.2
	"North Carolina"	"37"	"2019"	"2019"	72	1353801	5.3
	"North Carolina"	"37"	"2020"	"2020"	90	1355997	6.6
	"North Carolina"	"37"	"2021 "	"2021"	105	1373885	7.6
"Total"	"North Carolina"	"37"			351	5432069	6.5
	"North Dakota"	"38"	"2018"	"2018"	10	94930	Unreliable
	"North Dakota"	"38"	"2019"	"2019"	16	95645	Unreliable
	"North Dakota"	"38"	"2020"	"2020"	11	97332	Unreliable
	"North Dakota"	"38"	"2021 "	"2021"	11	102589	Unreliable
"Total"	"North Dakota"	"38"			48	390496	12.3
	"Ohio"	"39"	"2018"	"2018"	132	1499684	8.8
	"Ohio"	"39"	"2019"	"2019"	118	1487578	7.9
	"Ohio"	"39"	"2020"	"2020"	90	1473356	6.1
	"Ohio"	"39"	"2021 "	"2021"	100	1516666	6.6
"Total"	"Ohio"	"39"			440	5977284	7.4
	"Oklahoma"	"40"	"2018"	"2018"	55	534250	10.3
	"Oklahoma"	"40"	"2019"	"2019"	63	535055	11.8
	"Oklahoma"	"40"	"2020"	"2020"	69	535810	12.9
	"Oklahoma"	"40"	"2021 "	"2021"	57	552261	10.3
"Total"	"Oklahoma"	"40"			244	2157376	11.3
	"Oregon"	"41"	"2018"	"2018"	61	496049	12.3
	"Oregon"	"41"	"2019"	"2019"	41	495217	8.3
	"Oregon"	"41"	"2020"	"2020"	43	494629	8.7
	"Oregon"	"41"	"2021 "	"2021"	35	506988	6.9
"Total"	"Oregon"	"41"			180	1992883	9.0
	"Pennsylvania"	"42"	"2018"	"2018"	105	1565533	6.7
	"Pennsylvania"	"42"	"2019"	"2019"	90	1553565	5.8
	"Pennsylvania"	"42"	"2020"	"2020"	73	1538635	4.7
	"Pennsylvania"	"42"	"2021 "	"2021"	101	1598703	6.3
"Total"	"Pennsylvania"	"42"			369	6256436	5.9
"Total"	"Rhode Island"	"44"			13	518823	Unreliable
	"South Carolina"	"45"	"2018"	"2018"	55	643448	8.5
	"South Carolina"	"45"	"2019"	"2019"	53	648599	8.2
	"South Carolina"	"45"	"2020"	"2020"	56	652590	8.6
	"South Carolina"	"45"	"2021 "	"2021"	57	663284	8.6
"Total"	"South Carolina"	"45"			221	2607921	8.5
	"South Dakota"	"46"	"2018"	"2018"	27	118556	22.8
	"South Dakota"	"46"	"2019"	"2019"	27	118466	22.8
	"South Dakota"	"46"	"2020"	"2020"	20	120111	16.7
	"South Dakota"	"46"	"2021 "	"2021"	28	124160	22.6
"Total"	"South Dakota"	"46"			102	481293	21.2
	"Tennessee"	"47"	"2018"	"2018"	61	855439	7.1
	"Tennessee"	"47"	"2019"	"2019"	54	855582	6.3
	"Tennessee"	"47"	"2020"	"2020"	54	854258	6.3
	"Tennessee"	"47"	"2021 "	"2021"	68	883615	7.7
"Total"	"Tennessee"	"47"			237	3448894	6.9
	"Texas"	"48"	"2018"	"2018"	302	4123762	7.3
	"Texas"	"48"	"2019"	"2019"	305	4156116	7.3
	"Texas"	"48"	"2020"	"2020"	322	4187384	7.7
	"Texas"	"48"	"2021 "	"2021"	315	4302935	7.3
"Total"	"Texas"	"48"			1244	16770197	7.4
	"Utah"	"49"	"2018"	"2018"	66	515784	12.8
	"Utah"	"49"	"2019"	"2019"	74	521832	14.2
	"Utah"	"49"	"2020"	"2020"	62	526744	11.8
	"Utah"	"49"	"2021 "	"2021"	53	551215	9.6
"Total"	"Utah"	"49"			255	2115575	12.1
"Total"	"Vermont"	"50"			23	301480	7.6
	"Virginia"	"51"	"2018"	"2018"	86	1070646	8.0
	"Virginia"	"51"	"2019"	"2019"	71	1067063	6.7
	"Virginia"	"51"	"2020"	"2020"	86	1069640	8.0
	"Virginia"	"51"	"2021 "	"2021"	80	1101167	7.3
"Total"	"Virginia"	"51"			323	4308516	7.5
	"Washington"	"53"	"2018"	"2018"	90	909851	9.9
	"Washington"	"53"	"2019"	"2019"	68	915053	7.4
	"Washington"	"53"	"2020"	"2020"	72	918183	7.8
	"Washington"	"53"	"2021 "	"2021"	88	946253	9.3
"Total"	"Washington"	"53"			318	3689340	8.6
	"West Virginia"	"54"	"2018"	"2018"	24	211615	11.3
	"West Virginia"	"54"	"2019"	"2019"	19	209168	Unreliable
	"West Virginia"	"54"	"2020"	"2020"	11	207560	Unreliable
	"West Virginia"	"54"	"2021 "	"2021"	18	213252	Unreliable
"Total"	"West Virginia"	"54"			72	841595	8.6
	"Wisconsin"	"55"	"2018"	"2018"	56	747766	7.5
	"Wisconsin"	"55"	"2019"	"2019"	59	744359	7.9
	"Wisconsin"	"55"	"2020"	"2020"	44	740993	5.9
	"Wisconsin"	"55"	"2021 "	"2021"	55	763933	7.2
"Total"	"Wisconsin"	"55"			214	2997051	7.1
	"Wyoming"	"56"	"2019"	"2019"	17	75945	Unreliable
	"Wyoming"	"56"	"2021 "	"2021"	19	78215	Unreliable
"Total"	"Wyoming"	"56"			51	306181	16.7
"Total"					11482	168557388	6.8
"---"
"Dataset: Underlying Cause of Death, 2018-2021, Single Race"
"Query Parameters:"
"Injury Intent: Suicide"
"Single-Year Ages: 10 years; 11 years; 12 years; 13 years; 14 years; 15 years; 16 years; 17 years; 18 years; 19 years"
"Group By: State; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Jan 12, 2024 4:47:29 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Jan 12, 2024 4:47:29 PM"
"---"
Messages:
"1. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use"
"Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"4. The population figures for years 2021 are single-race estimates of the July 1 resident population, based on the Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021 postcensal"
"series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates of the"
"July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census Bureau on"
"July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from the"
"Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data."
